epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.282,0.95946,2.93326,1.46548,0.13704,0.50148,0.24748,0.17978,0.91015,3.19837,1.54527,0.000329787,0.000329787,0.000329787
2,244.444,1.00875,2.43397,1.48778,0.22513,0.64782,0.24112,0.16433,1.10336,3.52392,1.77056,0.000641238,0.000641238,0.000641238
3,444.455,1.02129,2.23203,1.47244,0.22161,0.58175,0.24751,0.15078,1.21312,2.67163,1.99432,0.000930688,0.000930688,0.000930688
4,652.259,1.00974,2.10101,1.47151,0.21805,0.55575,0.30875,0.21356,1.05993,2.29913,1.7142,0.000901,0.000901,0.000901
5,869.836,0.9875,1.98086,1.44789,0.1867,0.59668,0.27573,0.1962,0.9772,2.22343,1.59863,0.000868,0.000868,0.000868
6,1090.34,0.98466,1.94353,1.44094,0.22694,0.63716,0.34412,0.26523,0.95494,2.01798,1.57911,0.000835,0.000835,0.000835
7,1312.26,0.95751,1.83435,1.41575,0.29086,0.69507,0.35023,0.24672,1.00502,1.91555,1.60715,0.000802,0.000802,0.000802
8,1542.16,0.9269,1.77228,1.39586,0.30978,0.58259,0.40968,0.30987,0.9974,1.83611,1.64183,0.000769,0.000769,0.000769
9,1764.05,0.91539,1.70007,1.3812,0.27965,0.74579,0.37682,0.27719,0.99,1.85271,1.59106,0.000736,0.000736,0.000736
10,1990.04,0.89462,1.6634,1.36649,0.28209,0.60401,0.40305,0.2922,1.05217,1.82852,1.69889,0.000703,0.000703,0.000703
11,2211.5,0.87341,1.62658,1.35927,0.34849,0.60987,0.46934,0.35547,0.95811,1.63915,1.56188,0.00067,0.00067,0.00067
12,2430.99,0.88153,1.5846,1.34871,0.35013,0.6468,0.51135,0.40276,0.89302,1.51203,1.50514,0.000637,0.000637,0.000637
13,2650.82,0.86279,1.57457,1.34253,0.31647,0.56441,0.40217,0.30633,0.89541,1.68673,1.53425,0.000604,0.000604,0.000604
14,2893.71,0.85197,1.50475,1.33191,0.40292,0.59294,0.52497,0.41974,0.80716,1.51224,1.44204,0.000571,0.000571,0.000571
15,3129.24,0.82085,1.46255,1.30299,0.34696,0.6013,0.46538,0.3569,0.88471,1.71448,1.49254,0.000538,0.000538,0.000538
16,3371.9,0.83991,1.42686,1.31805,0.42091,0.56112,0.50404,0.39909,0.85317,1.48425,1.46804,0.000505,0.000505,0.000505
17,3598.7,0.80129,1.39997,1.29348,0.44995,0.54775,0.55652,0.43122,0.88298,1.38409,1.45112,0.000472,0.000472,0.000472
18,3824.54,0.80547,1.37681,1.29265,0.47967,0.59207,0.5412,0.43066,0.79795,1.37674,1.40094,0.000439,0.000439,0.000439
19,4049.63,0.77035,1.32725,1.26954,0.4221,0.64764,0.54176,0.42848,0.87417,1.46594,1.4633,0.000406,0.000406,0.000406
20,4268.88,0.77399,1.33393,1.28132,0.46699,0.53662,0.53606,0.43042,0.79902,1.55511,1.40712,0.000373,0.000373,0.000373
21,4490.05,0.63343,1.17426,1.28822,0.45248,0.62413,0.554,0.44833,0.80763,1.37636,1.41732,0.00034,0.00034,0.00034
22,4726.07,0.60503,1.08619,1.24737,0.56752,0.54994,0.60558,0.49215,0.7806,1.30747,1.39268,0.000307,0.000307,0.000307
23,4943.17,0.58918,1.04217,1.23337,0.5001,0.57614,0.58595,0.47384,0.79642,1.49163,1.41311,0.000274,0.000274,0.000274
24,5159.74,0.56942,0.95027,1.21817,0.5911,0.57821,0.60055,0.48788,0.79888,1.29697,1.40001,0.000241,0.000241,0.000241
25,5383.27,0.57348,0.90075,1.21818,0.60917,0.58009,0.62855,0.51009,0.77814,1.35102,1.36528,0.000208,0.000208,0.000208
26,5620.22,0.55482,0.8224,1.20064,0.55555,0.60639,0.60762,0.49561,0.78454,1.34052,1.38552,0.000175,0.000175,0.000175
27,5859.42,0.55021,0.78532,1.19257,0.51466,0.60011,0.61152,0.50345,0.78225,1.3446,1.39203,0.000142,0.000142,0.000142
28,6100.71,0.53248,0.74057,1.18274,0.60686,0.60346,0.62397,0.51648,0.75748,1.33898,1.37158,0.000109,0.000109,0.000109
29,6330.37,0.52707,0.71428,1.16402,0.54526,0.62351,0.60824,0.49946,0.73889,1.33577,1.35849,7.6e-05,7.6e-05,7.6e-05
30,6562.55,0.50761,0.69354,1.1653,0.53247,0.67531,0.6313,0.51768,0.759,1.29423,1.37398,4.3e-05,4.3e-05,4.3e-05
